audit_index,dataset_index,file_name,family,level,parameter,action_and_rationale_labels_still_applicable,scene_semantics_preserved,review_notes
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,1,1.05,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,2,1.1,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,3,1.2,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,4,1.3,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,1,0.5,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,2,1.0,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,3,1.5,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,4,2.0,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,1,2.5,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,2,5.0,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,3,7.5,,,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,4,10.0,,,
2,121,7457452c-f79cce78_1.jpg,brightness,1,1.05,,,
2,121,7457452c-f79cce78_1.jpg,brightness,2,1.1,,,
2,121,7457452c-f79cce78_1.jpg,brightness,3,1.2,,,
2,121,7457452c-f79cce78_1.jpg,brightness,4,1.3,,,
2,121,7457452c-f79cce78_1.jpg,blur,1,0.5,,,
2,121,7457452c-f79cce78_1.jpg,blur,2,1.0,,,
2,121,7457452c-f79cce78_1.jpg,blur,3,1.5,,,
2,121,7457452c-f79cce78_1.jpg,blur,4,2.0,,,
2,121,7457452c-f79cce78_1.jpg,noise,1,2.5,,,
2,121,7457452c-f79cce78_1.jpg,noise,2,5.0,,,
2,121,7457452c-f79cce78_1.jpg,noise,3,7.5,,,
2,121,7457452c-f79cce78_1.jpg,noise,4,10.0,,,
3,132,6cf18433-eccd8d89_3.jpg,brightness,1,1.05,,,
3,132,6cf18433-eccd8d89_3.jpg,brightness,2,1.1,,,
3,132,6cf18433-eccd8d89_3.jpg,brightness,3,1.2,,,
3,132,6cf18433-eccd8d89_3.jpg,brightness,4,1.3,,,
3,132,6cf18433-eccd8d89_3.jpg,blur,1,0.5,,,
3,132,6cf18433-eccd8d89_3.jpg,blur,2,1.0,,,
3,132,6cf18433-eccd8d89_3.jpg,blur,3,1.5,,,
3,132,6cf18433-eccd8d89_3.jpg,blur,4,2.0,,,
3,132,6cf18433-eccd8d89_3.jpg,noise,1,2.5,,,
3,132,6cf18433-eccd8d89_3.jpg,noise,2,5.0,,,
3,132,6cf18433-eccd8d89_3.jpg,noise,3,7.5,,,
3,132,6cf18433-eccd8d89_3.jpg,noise,4,10.0,,,
4,138,508522be-b1c5f800_3.jpg,brightness,1,1.05,,,
4,138,508522be-b1c5f800_3.jpg,brightness,2,1.1,,,
4,138,508522be-b1c5f800_3.jpg,brightness,3,1.2,,,
4,138,508522be-b1c5f800_3.jpg,brightness,4,1.3,,,
4,138,508522be-b1c5f800_3.jpg,blur,1,0.5,,,
4,138,508522be-b1c5f800_3.jpg,blur,2,1.0,,,
4,138,508522be-b1c5f800_3.jpg,blur,3,1.5,,,
4,138,508522be-b1c5f800_3.jpg,blur,4,2.0,,,
4,138,508522be-b1c5f800_3.jpg,noise,1,2.5,,,
4,138,508522be-b1c5f800_3.jpg,noise,2,5.0,,,
4,138,508522be-b1c5f800_3.jpg,noise,3,7.5,,,
4,138,508522be-b1c5f800_3.jpg,noise,4,10.0,,,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,1,1.05,,,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,2,1.1,,,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,3,1.2,,,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,4,1.3,,,
5,148,b9df54a4-314e9e5e_1.jpg,blur,1,0.5,,,
5,148,b9df54a4-314e9e5e_1.jpg,blur,2,1.0,,,
5,148,b9df54a4-314e9e5e_1.jpg,blur,3,1.5,,,
5,148,b9df54a4-314e9e5e_1.jpg,blur,4,2.0,,,
5,148,b9df54a4-314e9e5e_1.jpg,noise,1,2.5,,,
5,148,b9df54a4-314e9e5e_1.jpg,noise,2,5.0,,,
5,148,b9df54a4-314e9e5e_1.jpg,noise,3,7.5,,,
5,148,b9df54a4-314e9e5e_1.jpg,noise,4,10.0,,,
6,233,2082c890-7e230eb3_1.jpg,brightness,1,1.05,,,
6,233,2082c890-7e230eb3_1.jpg,brightness,2,1.1,,,
6,233,2082c890-7e230eb3_1.jpg,brightness,3,1.2,,,
6,233,2082c890-7e230eb3_1.jpg,brightness,4,1.3,,,
6,233,2082c890-7e230eb3_1.jpg,blur,1,0.5,,,
6,233,2082c890-7e230eb3_1.jpg,blur,2,1.0,,,
6,233,2082c890-7e230eb3_1.jpg,blur,3,1.5,,,
6,233,2082c890-7e230eb3_1.jpg,blur,4,2.0,,,
6,233,2082c890-7e230eb3_1.jpg,noise,1,2.5,,,
6,233,2082c890-7e230eb3_1.jpg,noise,2,5.0,,,
6,233,2082c890-7e230eb3_1.jpg,noise,3,7.5,,,
6,233,2082c890-7e230eb3_1.jpg,noise,4,10.0,,,
7,285,c0deebc1-16cfa791_3.jpg,brightness,1,1.05,,,
7,285,c0deebc1-16cfa791_3.jpg,brightness,2,1.1,,,
7,285,c0deebc1-16cfa791_3.jpg,brightness,3,1.2,,,
7,285,c0deebc1-16cfa791_3.jpg,brightness,4,1.3,,,
7,285,c0deebc1-16cfa791_3.jpg,blur,1,0.5,,,
7,285,c0deebc1-16cfa791_3.jpg,blur,2,1.0,,,
7,285,c0deebc1-16cfa791_3.jpg,blur,3,1.5,,,
7,285,c0deebc1-16cfa791_3.jpg,blur,4,2.0,,,
7,285,c0deebc1-16cfa791_3.jpg,noise,1,2.5,,,
7,285,c0deebc1-16cfa791_3.jpg,noise,2,5.0,,,
7,285,c0deebc1-16cfa791_3.jpg,noise,3,7.5,,,
7,285,c0deebc1-16cfa791_3.jpg,noise,4,10.0,,,
8,422,5149266c-c77bb7ae_3.jpg,brightness,1,1.05,,,
8,422,5149266c-c77bb7ae_3.jpg,brightness,2,1.1,,,
8,422,5149266c-c77bb7ae_3.jpg,brightness,3,1.2,,,
8,422,5149266c-c77bb7ae_3.jpg,brightness,4,1.3,,,
8,422,5149266c-c77bb7ae_3.jpg,blur,1,0.5,,,
8,422,5149266c-c77bb7ae_3.jpg,blur,2,1.0,,,
8,422,5149266c-c77bb7ae_3.jpg,blur,3,1.5,,,
8,422,5149266c-c77bb7ae_3.jpg,blur,4,2.0,,,
8,422,5149266c-c77bb7ae_3.jpg,noise,1,2.5,,,
8,422,5149266c-c77bb7ae_3.jpg,noise,2,5.0,,,
8,422,5149266c-c77bb7ae_3.jpg,noise,3,7.5,,,
8,422,5149266c-c77bb7ae_3.jpg,noise,4,10.0,,,
9,442,bc621584-f5b1895d_3.jpg,brightness,1,1.05,,,
9,442,bc621584-f5b1895d_3.jpg,brightness,2,1.1,,,
9,442,bc621584-f5b1895d_3.jpg,brightness,3,1.2,,,
9,442,bc621584-f5b1895d_3.jpg,brightness,4,1.3,,,
9,442,bc621584-f5b1895d_3.jpg,blur,1,0.5,,,
9,442,bc621584-f5b1895d_3.jpg,blur,2,1.0,,,
9,442,bc621584-f5b1895d_3.jpg,blur,3,1.5,,,
9,442,bc621584-f5b1895d_3.jpg,blur,4,2.0,,,
9,442,bc621584-f5b1895d_3.jpg,noise,1,2.5,,,
9,442,bc621584-f5b1895d_3.jpg,noise,2,5.0,,,
9,442,bc621584-f5b1895d_3.jpg,noise,3,7.5,,,
9,442,bc621584-f5b1895d_3.jpg,noise,4,10.0,,,
10,491,a6b73c03-a4eff278_1.jpg,brightness,1,1.05,,,
10,491,a6b73c03-a4eff278_1.jpg,brightness,2,1.1,,,
10,491,a6b73c03-a4eff278_1.jpg,brightness,3,1.2,,,
