audit_index,dataset_index,file_name,family,level,parameter,action_and_rationale_labels_still_applicable,scene_semantics_preserved,review_notes
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,1,1.05,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,2,1.1,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,3,1.2,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,brightness,4,1.3,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,1,0.5,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,2,1.0,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,3,1.5,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,blur,4,2.0,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,1,2.5,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,2,5.0,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,3,7.5,true,true,
1,37,2c9f9bd3-14f57d5e_3.jpg,noise,4,10.0,true,true,
2,121,7457452c-f79cce78_1.jpg,brightness,1,1.05,true,true,
2,121,7457452c-f79cce78_1.jpg,brightness,2,1.1,true,true,
2,121,7457452c-f79cce78_1.jpg,brightness,3,1.2,true,true,
2,121,7457452c-f79cce78_1.jpg,brightness,4,1.3,true,true,
2,121,7457452c-f79cce78_1.jpg,blur,1,0.5,true,true,
2,121,7457452c-f79cce78_1.jpg,blur,2,1.0,true,true,
2,121,7457452c-f79cce78_1.jpg,blur,3,1.5,true,true,
2,121,7457452c-f79cce78_1.jpg,blur,4,2.0,true,true,
2,121,7457452c-f79cce78_1.jpg,noise,1,2.5,true,true,
2,121,7457452c-f79cce78_1.jpg,noise,2,5.0,true,true,
2,121,7457452c-f79cce78_1.jpg,noise,3,7.5,true,true,
2,121,7457452c-f79cce78_1.jpg,noise,4,10.0,true,true,
3,132,6cf18433-eccd8d89_3.jpg,brightness,1,1.05,true,true,
3,132,6cf18433-eccd8d89_3.jpg,brightness,2,1.1,true,true,
3,132,6cf18433-eccd8d89_3.jpg,brightness,3,1.2,true,true,
3,132,6cf18433-eccd8d89_3.jpg,brightness,4,1.3,true,true,
3,132,6cf18433-eccd8d89_3.jpg,blur,1,0.5,true,true,
3,132,6cf18433-eccd8d89_3.jpg,blur,2,1.0,true,true,
3,132,6cf18433-eccd8d89_3.jpg,blur,3,1.5,true,true,
3,132,6cf18433-eccd8d89_3.jpg,blur,4,2.0,true,true,
3,132,6cf18433-eccd8d89_3.jpg,noise,1,2.5,true,true,
3,132,6cf18433-eccd8d89_3.jpg,noise,2,5.0,true,true,
3,132,6cf18433-eccd8d89_3.jpg,noise,3,7.5,true,true,
3,132,6cf18433-eccd8d89_3.jpg,noise,4,10.0,true,true,
4,138,508522be-b1c5f800_3.jpg,brightness,1,1.05,true,true,
4,138,508522be-b1c5f800_3.jpg,brightness,2,1.1,true,true,
4,138,508522be-b1c5f800_3.jpg,brightness,3,1.2,true,true,
4,138,508522be-b1c5f800_3.jpg,brightness,4,1.3,true,true,
4,138,508522be-b1c5f800_3.jpg,blur,1,0.5,true,true,
4,138,508522be-b1c5f800_3.jpg,blur,2,1.0,true,true,
4,138,508522be-b1c5f800_3.jpg,blur,3,1.5,true,true,
4,138,508522be-b1c5f800_3.jpg,blur,4,2.0,true,true,
4,138,508522be-b1c5f800_3.jpg,noise,1,2.5,true,true,
4,138,508522be-b1c5f800_3.jpg,noise,2,5.0,true,true,
4,138,508522be-b1c5f800_3.jpg,noise,3,7.5,true,true,
4,138,508522be-b1c5f800_3.jpg,noise,4,10.0,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,1,1.05,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,2,1.1,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,3,1.2,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,brightness,4,1.3,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,blur,1,0.5,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,blur,2,1.0,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,blur,3,1.5,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,blur,4,2.0,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,noise,1,2.5,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,noise,2,5.0,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,noise,3,7.5,true,true,
5,148,b9df54a4-314e9e5e_1.jpg,noise,4,10.0,true,true,
6,233,2082c890-7e230eb3_1.jpg,brightness,1,1.05,true,true,
6,233,2082c890-7e230eb3_1.jpg,brightness,2,1.1,true,true,
6,233,2082c890-7e230eb3_1.jpg,brightness,3,1.2,true,true,
6,233,2082c890-7e230eb3_1.jpg,brightness,4,1.3,true,true,
6,233,2082c890-7e230eb3_1.jpg,blur,1,0.5,true,true,
6,233,2082c890-7e230eb3_1.jpg,blur,2,1.0,true,true,
6,233,2082c890-7e230eb3_1.jpg,blur,3,1.5,true,true,
6,233,2082c890-7e230eb3_1.jpg,blur,4,2.0,true,true,
6,233,2082c890-7e230eb3_1.jpg,noise,1,2.5,true,true,
6,233,2082c890-7e230eb3_1.jpg,noise,2,5.0,true,true,
6,233,2082c890-7e230eb3_1.jpg,noise,3,7.5,true,true,
6,233,2082c890-7e230eb3_1.jpg,noise,4,10.0,true,true,
7,285,c0deebc1-16cfa791_3.jpg,brightness,1,1.05,true,true,
7,285,c0deebc1-16cfa791_3.jpg,brightness,2,1.1,true,true,
7,285,c0deebc1-16cfa791_3.jpg,brightness,3,1.2,true,true,
7,285,c0deebc1-16cfa791_3.jpg,brightness,4,1.3,true,true,
7,285,c0deebc1-16cfa791_3.jpg,blur,1,0.5,true,true,
7,285,c0deebc1-16cfa791_3.jpg,blur,2,1.0,true,true,
7,285,c0deebc1-16cfa791_3.jpg,blur,3,1.5,true,true,
7,285,c0deebc1-16cfa791_3.jpg,blur,4,2.0,true,true,
7,285,c0deebc1-16cfa791_3.jpg,noise,1,2.5,true,true,
7,285,c0deebc1-16cfa791_3.jpg,noise,2,5.0,true,true,
7,285,c0deebc1-16cfa791_3.jpg,noise,3,7.5,true,true,
7,285,c0deebc1-16cfa791_3.jpg,noise,4,10.0,true,true,
8,422,5149266c-c77bb7ae_3.jpg,brightness,1,1.05,true,true,
8,422,5149266c-c77bb7ae_3.jpg,brightness,2,1.1,true,true,
8,422,5149266c-c77bb7ae_3.jpg,brightness,3,1.2,true,true,
8,422,5149266c-c77bb7ae_3.jpg,brightness,4,1.3,true,true,
8,422,5149266c-c77bb7ae_3.jpg,blur,1,0.5,true,true,
8,422,5149266c-c77bb7ae_3.jpg,blur,2,1.0,true,true,
8,422,5149266c-c77bb7ae_3.jpg,blur,3,1.5,true,true,
8,422,5149266c-c77bb7ae_3.jpg,blur,4,2.0,true,true,
8,422,5149266c-c77bb7ae_3.jpg,noise,1,2.5,true,true,
